Isolate	Concentration	Replicate	Area
TN2-51	0.6	4	9.1
TN2-51	0.6	5	8.174
TN2-51	0.6	6	7.441
TN2-51	0.6	7	7.7
TN2-51	0.6	8	9.22
TN2-51	0.6	9	7.305
TN2-51	0.6	10	7.627
TN2-51	0.3	1	20.221
TN2-51	0.3	2	26.761
TN2-51	0.3	3	18.971
TN2-51	0.3	4	17.185
TN2-51	0.3	5	21.874
TN2-51	0.3	6	16.265
TN2-51	0.3	7	21.996
TN2-51	0.3	8	18.883
TN2-51	0.3	9	20.035
TN2-51	0.3	10	13.497
TN2-51	0	1	27.501
TN2-51	0	2	22.861
TN2-51	0	3	24.989
TN2-51	0	4	28.075
TN2-51	0	5	28.174
TN2-51	0	6	26.512
TN2-51	0	7	24.605
TN2-51	0	8	21.726
TN2-51	0	9	26.48
TN2-51	0	10	22.507
TN1-4	1.2	1	2.379
TN1-4	1.2	2	3.76
TN1-4	1.2	3	3.508
TN1-4	1.2	4	3.441
TN1-4	1.2	5	2.187
TN1-4	1.2	6	2.899
TN1-4	1.2	7	4.338
TN1-4	1.2	8	5.057
TN1-4	1.2	9	1.09
TN1-4	1.2	10	3.254
TN1-4	0.9	1	3.712
TN1-4	0.9	2	2.753
TN1-4	0.9	3	1.925
TN1-4	0.9	4	1.864
TN1-4	0.9	5	1.559
TN1-4	0.9	6	1.413
TN1-4	0.9	7	2.226
TN1-4	0.9	8	1.99
TN1-4	0.9	9	1.321
TN1-4	0.9	10	1.935
TN1-4	0.6	1	2.356
TN1-4	0.6	2	2.66
TN1-4	0.6	3	4.072
TN1-4	0.6	4	2.317
TN1-4	0.6	5	3.399
TN1-4	0.6	6	2.596
TN1-4	0.6	7	7.643
TN1-4	0.6	8	2.657
TN1-4	0.6	9	2.849
TN1-4	0.6	10	4.513
TN1-4	0.3	1	20.149
TN1-4	0.3	2	21.076
TN1-4	0.3	3	21.543
TN1-4	0.3	4	11.628
TN1-4	0.3	5	20.344
TN1-4	0.3	6	9.454
TN1-4	0.3	7	10.48
TN1-4	0.3	8	11.779
TN1-4	0.3	9	8.25
TN1-4	0.3	10	13.534
TN1-4	0	1	25.081
TN1-4	0	2	26.957
TN1-4	0	3	28.251
TN1-4	0	4	26.786
TN1-4	0	5	27.356
TN1-4	0	6	28.082
TN1-4	0	7	28.092
TN1-4	0	8	27.856
TN1-4	0	9	28.224
TN1-4	0	10	28.219
